Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
Court reporters,23-2091,Line item,20.8,21.1,0.3,1.5,8.0,4.9,"$51,320",Postsecondary nondegree award,None,Short-term on-the-job training,
Insulation workers,47-2130,Summary,55.6,63.0,7.4,13.3,4.0,26.2,"$39,280",—,—,—,
Nuclear medicine technologists,29-2033,Line item,20.7,21.0,0.3,1.5,0.9,4.2,"$74,350",Associate's degree,None,None,
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,4.0,4.1,0.1,1.5,—,1.6,"$50,470",High school diploma or equivalent,None,Moderate-term on-the-job training,
Painters and paperhangers,47-2140,Summary,367.0,393.7,26.7,7.3,41.3,85.1,"$37,520",—,—,—,
Graphic designers,27-1024,Line item,261.6,265.2,3.6,1.4,22.0,65.8,"$47,640",Bachelor's degree,None,None,
"Precision instrument and equipment repairers, all other",49-9069,Line item,12.8,13.0,0.2,1.4,10.5,2.5,"$56,230",High school diploma or equivalent,None,Long-term on-the-job training,
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,470.8,525.1,54.3,11.5,10.2,116.5,"$50,300",—,—,—,
Stationary engineers and boiler operators,51-8021,Line item,39.1,39.7,0.6,1.4,—,11.2,"$59,400",High school diploma or equivalent,None,Long-term on-the-job training,
Materials engineers,17-2131,Line item,25.3,25.6,0.3,1.3,—,9.2,"$93,310",Bachelor's degree,None,None,
Aircraft mechanics and service technicians,49-3011,Line item,119.9,121.5,1.6,1.3,1.3,30.1,"$60,170",Postsecondary nondegree award,None,None,
Food cooking machine operators and tenders,51-3093,Line item,37.5,38.0,0.5,1.3,1.5,8.3,"$28,350",High school diploma or equivalent,None,Moderate-term on-the-job training,
Cabinetmakers and bench carpenters,51-7011,Line item,98.1,99.3,1.3,1.3,8.3,9.2,"$33,050",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Rail transportation workers, all other",53-4099,Line item,3.8,3.9,0.0,1.3,—,1.5,"$60,420",High school diploma or equivalent,None,Moderate-term on-the-job training,
Transportation inspectors,53-6051,Line item,26.4,26.7,0.3,1.2,3.9,7.1,"$72,220",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Airline pilots, copilots, and flight engineers",53-2011,Line item,75.7,76.5,0.8,1.1,—,19.3,"$127,820",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,
"Helpers, construction trades",47-3000,Summary,227.3,260.0,32.7,14.4,0.4,61.3,"$29,180",—,—,—,
Purchasing managers,11-3061,Line item,73.0,73.7,0.7,1.0,1.4,17.9,"$111,590",Bachelor's degree,5 years or more,None,
Electrical engineers,17-2071,Line item,178.4,180.2,1.8,1.0,1.3,41.1,"$94,210",Bachelor's degree,None,None,
"Physical scientists, all other",19-2099,Line item,28.5,28.8,0.3,1.0,9.4,3.0,"$96,070",Bachelor's degree,None,None,
Packaging and filling machine operators and tenders,51-9111,Line item,378.4,382.2,3.8,1.0,0.1,138.7,"$28,290",High school diploma or equivalent,None,Moderate-term on-the-job training,
Industrial engineers,17-2112,Line item,241.1,243.2,2.1,0.9,1.0,72.8,"$84,310",Bachelor's degree,None,None,
Electro-mechanical technicians,17-3024,Line item,14.7,14.8,0.1,0.7,0.6,3.7,"$55,610",Associate's degree,None,None,
Gaming supervisors,39-1011,Line item,27.8,28.0,0.2,0.7,39.4,9.4,"$50,520",High school diploma or equivalent,Less than 5 years,None,
Other construction and related workers,47-4000,Summary,418.2,449.5,31.3,7.5,5.0,133.0,"$42,960",—,—,—,
"Refractory materials repairers, except brickmasons",49-9045,Line item,1.8,1.8,0.0,0.7,4.0,0.5,"$45,230",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,18.5,18.7,0.1,0.7,—,4.0,"$28,570",No formal educational credential,None,Moderate-term on-the-job training,
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.7,29.9,0.2,0.6,—,4.5,"$125,880",Doctoral or professional degree,5 years or more,Short-term on-the-job training,
Craft artists,27-1012,Line item,10.6,10.6,0.1,0.6,56.0,2.0,"$33,440",No formal educational credential,None,Long-term on-the-job training,
"Cooks, private household",35-2013,Line item,35.9,36.2,0.2,0.6,78.2,9.7,"$32,060",Postsecondary nondegree award,Less than 5 years,None,
Gaming dealers,39-3011,Line item,68.5,68.9,0.4,0.6,5.1,18.8,"$19,290",High school diploma or equivalent,None,Short-term on-the-job training,
Telecommunications line installers and repairers,49-9052,Line item,118.0,118.7,0.7,0.6,2.6,22.2,"$52,590",High school diploma or equivalent,None,Long-term on-the-job training,
Miscellaneous construction and related workers,47-4090,Summary,36.6,39.2,2.6,7.0,10.0,8.1,"$36,670",—,—,—,
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,42.4,42.6,0.2,0.5,—,16.9,"$54,520",High school diploma or equivalent,None,Moderate-term on-the-job training,
Aircraft cargo handling supervisors,53-1011,Line item,5.8,5.8,0.0,0.5,—,1.9,"$47,360",High school diploma or equivalent,Less than 5 years,None,
Extraction workers,47-5000,Summary,282.2,305.4,23.2,8.2,1.5,94.0,"$44,390",—,—,—,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,Summary,114.3,125.5,11.1,9.7,0.6,50.2,"$49,720",—,—,—,
"Career/technical education teachers, secondary school",25-2032,Line item,79.6,79.9,0.3,0.4,—,19.2,"$57,320",Bachelor's degree,Less than 5 years,Internship/residency,
"Artists and related workers, all other",27-1019,Line item,13.4,13.5,0.1,0.4,40.0,2.6,"$61,360",No formal educational credential,None,Long-term on-the-job training,
Avionics technicians,49-2091,Line item,17.4,17.5,0.1,0.4,—,3.1,"$60,760",Associate's degree,None,None,
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,18.5,18.6,0.1,0.4,8.9,4.9,"$28,550",No formal educational credential,None,Moderate-term on-the-job training,
Pharmacy aides,31-9095,Line item,41.5,41.6,0.1,0.3,—,8.8,"$25,240",High school diploma or equivalent,None,Short-term on-the-job training,
Mining machine operators,47-5040,Summary,22.3,21.5,-0.8,-3.5,7.4,4.3,"$51,480",—,—,—,
"Mining machine operators, all other",47-5049,Line item,2.6,2.6,0.0,0.3,7.4,0.5,"$48,010",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,67.8,67.8,0.1,0.1,0.9,11.8,"$56,250",Postsecondary nondegree award,None,Long-term on-the-job training,
Engine and other machine assemblers,51-2031,Line item,39.0,39.0,0.0,0.1,—,7.8,"$41,210",High school diploma or equivalent,None,Moderate-term on-the-job training,
Travel guides,39-7012,Line item,3.9,3.9,0.0,0.0,14.8,1.5,"$32,100",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,71.3,71.2,-0.1,-0.1,0.7,21.1,"$28,790",High school diploma or equivalent,None,Short-term on-the-job training,
Signal and track switch repairers,49-9097,Line item,9.5,9.5,0.0,-0.1,12.3,1.5,"$65,350",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,152.4,152.3,-0.2,-0.1,0.7,30.1,"$24,490",No formal educational credential,None,Short-term on-the-job training,
"Loading machine operators, underground mining",53-7033,Line item,4.8,4.8,0.0,-0.1,12.6,0.6,"$53,420",No formal educational credential,None,Short-term on-the-job training,
"Installation, maintenance, and repair occupations",49-0000,Summary,"5,680.5","6,046.0",365.5,6.4,5.0,"1,708.9","$43,440",—,—,—,
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,447.1,471.4,24.3,5.4,0.0,113.5,"$63,540",—,—,—,
"Engineering technicians, except drafters, all other",17-3029,Line item,70.1,69.9,-0.2,-0.2,0.4,17.1,"$62,330",Associate's degree,None,None,
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,610.9,610.7,-0.2,0.0,5.5,109.4,"$48,780",—,—,—,
Models,41-9012,Line item,5.8,5.8,0.0,-0.2,7.9,1.7,"$21,870",No formal educational credential,None,None,
Radio and telecommunications equipment installers and repairers,49-2020,Summary,232.2,225.2,-7.0,-3.0,1.8,21.8,"$53,540",—,—,—,
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,496.6,495.5,-1.1,-0.2,0.8,124.8,"$36,780",High school diploma or equivalent,None,Moderate-term on-the-job training,
Conveyor operators and tenders,53-7011,Line item,39.7,39.6,-0.1,-0.2,—,11.5,"$31,410",No formal educational credential,None,Short-term on-the-job training,
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,247.1,250.7,3.6,1.5,3.7,59.0,"$50,420",—,—,—,
"Title examiners, abstractors, and searchers",23-2093,Line item,71.1,70.8,-0.2,-0.3,23.0,15.6,"$45,800",High school diploma or equivalent,None,Short-term on-the-job training,
Logging equipment operators,45-4022,Line item,37.3,37.1,-0.1,-0.3,22.9,8.8,"$37,490",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Patternmakers, wood",51-7032,Line item,1.8,1.8,0.0,-0.3,47.3,0.4,"$46,510",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Woodworkers, all other",51-7099,Line item,12.9,12.9,0.0,-0.3,45.7,3.0,"$28,500",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Biological scientists, all other",19-1029,Line item,36.4,36.2,-0.2,-0.4,1.1,9.7,"$74,790",Bachelor's degree,None,None,
"Legal support workers, all other",23-2099,Line item,52.6,52.4,-0.2,-0.4,10.0,11.6,"$54,650",High school diploma or equivalent,None,Short-term on-the-job training,
Food batchmakers,51-3092,Line item,122.5,122.0,-0.5,-0.4,0.9,26.4,"$27,810",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Purchasing agents, except wholesale, retail, and farm products",13-1023,Line item,300.8,299.3,-1.5,-0.5,1.4,82.7,"$63,300",Bachelor's degree,None,Long-term on-the-job training,
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,678.8","1,786.5",107.8,6.4,8.4,518.7,"$40,930",—,—,—,
Carpet installers,47-2041,Line item,45.3,45.1,-0.2,-0.5,42.1,6.3,"$38,280",No formal educational credential,None,Short-term on-the-job training,
Automotive technicians and repairers,49-3020,Summary,909.0,963.3,54.3,6.0,12.4,289.4,"$38,860",—,—,—,
Gaming managers,11-9071,Line item,3.8,3.8,0.0,-0.6,31.9,0.8,"$69,180",High school diploma or equivalent,Less than 5 years,None,
Radio operators,27-4013,Line item,1.2,1.2,0.0,-0.6,—,0.2,"$46,250",High school diploma or equivalent,None,Short-term on-the-job training,
Agricultural inspectors,45-2011,Line item,14.2,14.1,-0.1,-0.6,1.4,3.6,"$42,800",Bachelor's degree,None,Moderate-term on-the-job training,
Team assemblers,51-2092,Line item,"1,144.2","1,137.7",-6.5,-0.6,0.8,245.7,"$30,060",High school diploma or equivalent,None,Moderate-term on-the-job training,
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,186.5,196.5,10.1,5.4,3.1,54.1,"$47,690",—,—,—,
Slaughterers and meat packers,51-3023,Line item,86.4,85.9,-0.5,-0.6,0.7,17.1,"$26,590",No formal educational credential,None,Short-term on-the-job training,
Cooling and freezing equipment operators and tenders,51-9193,Line item,8.8,8.7,-0.1,-0.6,6.1,1.8,"$29,190",High school diploma or equivalent,None,Moderate-term on-the-job training,
Legislators,11-1031,Line item,58.3,57.9,-0.4,-0.7,—,12.9,"$23,470",Bachelor's degree,Less than 5 years,None,
Small engine mechanics,49-3050,Summary,71.7,74.9,3.2,4.4,9.5,17.6,"$35,280",—,—,—,
Sociologists,19-3041,Line item,2.6,2.5,0.0,-0.7,3.4,0.3,"$79,750",Master's degree,None,None,
Fishing and hunting workers,45-3000,Line item,28.4,28.2,-0.2,-0.7,57.7,7.0,"$29,280",—,—,—,
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,Line item,97.7,97.0,-0.7,-0.7,6.3,18.4,"$32,790",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,127.8,134.9,7.1,5.5,3.8,50.6,"$26,140",—,—,—,
Order clerks,43-4151,Line item,195.9,194.3,-1.5,-0.8,2.0,53.1,"$33,370",High school diploma or equivalent,None,Short-term on-the-job training,
Nuclear power reactor operators,51-8011,Line item,7.5,7.4,-0.1,-0.9,—,2.6,"$91,170",High school diploma or equivalent,None,Long-term on-the-job training,
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,50.0,49.5,-0.5,-1.1,5.9,14.2,"$28,380",High school diploma or equivalent,None,Short-term on-the-job training,
"Other installation, maintenance, and repair occupations",49-9000,Summary,"2,943.7","3,177.3",233.6,7.9,3.8,967.4,"$40,930",—,—,—,
Control and valve installers and repairers,49-9010,Summary,59.8,61.9,2.1,3.4,—,25.7,"$47,980",—,—,—,
Bridge and lock tenders,53-6011,Line item,3.5,3.4,0.0,-1.1,—,1.8,"$49,090",High school diploma or equivalent,None,Short-term on-the-job training,
Chief executives,11-1011,Line item,343.4,339.4,-4.1,-1.2,23.8,58.4,"$181,210",Bachelor's degree,5 years or more,None,
"Insurance appraisers, auto damage",13-1032,Line item,15.5,15.4,-0.2,-1.2,2.3,3.8,"$63,510",Postsecondary nondegree award,None,Moderate-term on-the-job training,
Detectives and criminal investigators,33-3021,Line item,116.7,115.3,-1.4,-1.2,0.6,28.3,"$78,120",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,466.2,539.6,73.4,15.7,2.8,182.9,"$49,080",—,—,—,
Pest control workers,37-2021,Line item,74.1,73.2,-0.9,-1.2,6.9,18.6,"$33,040",High school diploma or equivalent,None,Moderate-term on-the-job training,
Funeral attendants,39-4021,Line item,36.1,35.7,-0.4,-1.2,3.5,7.9,"$24,830",High school diploma or equivalent,None,Short-term on-the-job training,
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,43.8,43.3,-0.6,-1.3,1.0,13.8,"$38,360",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Electronics engineers, except computer",17-2072,Line item,137.4,135.5,-1.9,-1.4,1.2,30.3,"$99,210",Bachelor's degree,None,None,
Line installers and repairers,49-9050,Summary,236.6,250.3,13.7,5.8,2.3,82.5,"$62,650",—,—,—,
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,80.2,79.1,-1.1,-1.4,90.3,6.6,"$24,330",No formal educational credential,None,Short-term on-the-job training,
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,140.8,138.8,-2.0,-1.4,1.9,17.7,"$35,230",High school diploma or equivalent,None,Short-term on-the-job training,
Precision instrument and equipment repairers,49-9060,Summary,75.8,78.7,2.9,3.9,13.0,17.2,"$47,220",—,—,—,
"Model makers, wood",51-7031,Line item,2.6,2.6,0.0,-1.4,47.2,0.6,"$40,890",High school diploma or equivalent,None,Moderate-term on-the-job training,
Geographers,19-3092,Line item,1.4,1.4,0.0,-1.6,—,0.2,"$74,260",Bachelor's degree,None,None,
Animal breeders,45-2021,Line item,7.0,6.9,-0.1,-1.6,—,1.9,"$35,690",High school diploma or equivalent,None,Short-term on-the-job training,
Mine cutting and channeling machine operators,47-5042,Line item,7.4,7.3,-0.1,-1.8,7.4,1.4,"$51,900",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Railroad brake, signal, and switch operators",53-4021,Line item,22.1,21.7,-0.4,-1.8,—,8.4,"$56,570",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,929.8,911.7,-18.1,-1.9,70.7,158.4,"$66,360",High school diploma or equivalent,5 years or more,None,
Timing device assemblers and adjusters,51-2093,Line item,1.7,1.6,0.0,-1.9,—,0.4,"$37,040",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,387.8,403.1,15.2,3.9,8.7,113.2,"$34,170",—,—,—,
Railroad conductors and yardmasters,53-4031,Line item,45.1,44.3,-0.9,-1.9,—,17.2,"$57,480",High school diploma or equivalent,None,Moderate-term on-the-job training,
Surveyors,17-1022,Line item,44.3,43.4,-0.9,-2.0,3.4,13.7,"$59,390",Bachelor's degree,Less than 5 years,None,
Electrical and electronics engineering technicians,17-3023,Line item,139.4,136.6,-2.8,-2.0,0.5,34.1,"$62,190",Associate's degree,None,None,
"Social scientists and related workers, all other",19-3099,Line item,35.6,34.9,-0.7,-2.0,1.5,4.2,"$77,020",Bachelor's degree,None,None,
Log graders and scalers,45-4023,Line item,3.7,3.7,-0.1,-2.0,24.3,0.9,"$37,090",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Painting, coating, and decorating workers",51-9123,Line item,17.5,17.2,-0.3,-2.0,6.2,3.3,"$30,030",No formal educational credential,None,Moderate-term on-the-job training,
"Shipping, receiving, and traffic clerks",43-5071,Line item,670.2,655.7,-14.5,-2.2,0.6,145.5,"$31,180",High school diploma or equivalent,None,Short-term on-the-job training,
Mine shuttle car operators,53-7111,Line item,2.7,2.6,-0.1,-2.2,2.1,0.8,"$56,450",No formal educational credential,None,Short-term on-the-job training,
Aerospace engineers,17-2011,Line item,72.5,70.8,-1.6,-2.3,3.4,20.7,"$109,650",Bachelor's degree,None,None,
Production occupations,51-0000,Summary,"9,230.3","8,948.3",-282.1,-3.1,2.6,"2,220.8","$33,130",—,—,—,
Supervisors of production workers,51-1000,Summary,606.9,588.2,-18.7,-3.1,1.5,95.9,"$57,780",—,—,—,
Political scientists,19-3094,Line item,6.2,6.0,-0.1,-2.3,1.6,0.7,"$114,290",Master's degree,None,None,
Assemblers and fabricators,51-2000,Summary,"1,834.0","1,824.3",-9.7,-0.5,0.6,377.2,"$30,930",—,—,—,
Locomotive engineers,53-4011,Line item,40.4,39.5,-0.9,-2.3,—,16.0,"$57,670",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,269.4,255.8,-13.6,-5.0,0.1,33.2,"$31,730",—,—,—,
Proofreaders and copy markers,43-9081,Line item,13.6,13.3,-0.3,-2.4,19.8,2.6,"$36,960",Bachelor's degree,None,None,
Furniture finishers,51-7021,Line item,17.1,16.7,-0.4,-2.4,9.2,3.0,"$30,550",High school diploma or equivalent,None,Short-term on-the-job training,
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,72.1,70.4,-1.7,-2.4,0.4,12.5,"$28,510",High school diploma or equivalent,None,Short-term on-the-job training,
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,99.8,97.3,-2.5,-2.5,0.8,17.3,"$34,340",High school diploma or equivalent,None,Moderate-term on-the-job training,
Advertising sales agents,41-3011,Line item,167.9,163.4,-4.5,-2.7,7.9,49.8,"$50,380",High school diploma or equivalent,None,Moderate-term on-the-job training,
Miscellaneous assemblers and fabricators,51-2090,Summary,"1,405.8","1,410.1",4.3,0.3,0.8,313.4,"$29,840",—,—,—,
Etchers and engravers,51-9194,Line item,9.7,9.5,-0.3,-2.7,11.0,2.5,"$31,110",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Police, fire, and ambulance dispatchers",43-5031,Line item,102.0,99.0,-3.0,-2.9,—,25.5,"$38,870",High school diploma or equivalent,None,Moderate-term on-the-job training,
Architectural and civil drafters,17-3011,Line item,94.0,91.2,-2.8,-3.0,1.4,11.1,"$51,640",Associate's degree,None,None,
Telemarketers,41-9041,Line item,237.9,230.8,-7.2,-3.0,0.6,43.9,"$24,300",No formal educational credential,None,Short-term on-the-job training,
Food processing workers,51-3000,Summary,786.1,808.9,22.7,2.9,1.9,186.1,"$26,280",—,—,—,
Medical transcriptionists,31-9094,Line item,70.0,67.8,-2.2,-3.1,12.0,14.6,"$35,720",Postsecondary nondegree award,None,None,
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,377.9,384.2,6.3,1.7,0.7,81.6,"$26,410",—,—,—,
First-line supervisors of production and operating workers,51-1011,Line item,606.9,588.2,-18.7,-3.1,1.5,95.9,"$57,780",High school diploma or equivalent,Less than 5 years,None,
Slot supervisors,39-1012,Line item,7.1,6.9,-0.2,-3.2,36.5,2.4,"$36,080",High school diploma or equivalent,Less than 5 years,None,
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,216.1,209.1,-7.0,-3.2,0.2,57.5,"$24,520",No formal educational credential,None,Short-term on-the-job training,
Miscellaneous food processing workers,51-3090,Summary,223.0,226.3,3.3,1.5,1.1,51.0,"$27,110",—,—,—,
"Plant and system operators, all other",51-8099,Line item,11.9,11.5,-0.4,-3.2,—,4.5,"$54,930",High school diploma or equivalent,None,Long-term on-the-job training,
"Media and communication equipment workers, all other",27-4099,Line item,19.4,18.7,-0.6,-3.3,6.8,3.7,"$75,700",High school diploma or equivalent,None,Short-term on-the-job training,
Fiberglass laminators and fabricators,51-2091,Line item,19.2,18.6,-0.6,-3.3,0.8,4.1,"$30,870",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Drafters, all other",17-3019,Line item,14.7,14.2,-0.5,-3.4,1.4,1.7,"$50,470",Associate's degree,None,None,
Metal workers and plastic workers,51-4000,Summary,"1,971.5","1,872.5",-99.0,-5.0,1.8,562.7,"$37,560",—,—,—,
Computer control programmers and operators,51-4010,Summary,173.9,204.7,30.7,17.7,—,83.6,"$39,290",—,—,—,
Floral designers,27-1023,Line item,58.7,56.7,-2.0,-3.4,23.2,14.0,"$25,850",High school diploma or equivalent,None,Moderate-term on-the-job training,
Payroll and timekeeping clerks,43-3051,Line item,172.8,166.9,-5.9,-3.4,0.4,46.3,"$42,390",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,128.8,101.7,-27.1,-21.0,0.2,31.7,"$35,830",—,—,—,
Home appliance repairers,49-9031,Line item,46.4,44.8,-1.6,-3.4,28.7,12.5,"$37,570",High school diploma or equivalent,None,Moderate-term on-the-job training,
Gas plant operators,51-8092,Line item,16.7,16.1,-0.6,-3.4,—,6.3,"$67,580",High school diploma or equivalent,None,Long-term on-the-job training,
Machine feeders and offbearers,53-7063,Line item,104.2,100.7,-3.5,-3.4,—,22.9,"$28,410",No formal educational credential,None,Short-term on-the-job training,
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,346.7,274.6,-72.0,-20.8,0.3,71.6,"$33,620",—,—,—,
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.0,14.5,-0.5,-3.6,—,2.2,"$92,110",Doctoral or professional degree,5 years or more,Short-term on-the-job training,
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,218.6,210.8,-7.8,-3.6,1.8,19.7,"$53,640",Postsecondary nondegree award,None,Moderate-term on-the-job training,
Industrial production managers,11-3051,Line item,173.4,167.0,-6.3,-3.7,2.1,49.1,"$97,140",Bachelor's degree,5 years or more,None,
Data entry keyers,43-9021,Line item,216.8,208.9,-7.9,-3.7,1.1,27.6,"$30,100",High school diploma or equivalent,None,Moderate-term on-the-job training,
Helpers--production workers,51-9198,Line item,419.2,403.2,-16.1,-3.8,0.1,136.8,"$24,830",No formal educational credential,None,Short-term on-the-job training,
Dishwashers,35-9021,Line item,507.4,487.9,-19.5,-3.9,—,219.3,"$20,800",No formal educational credential,None,Short-term on-the-job training,
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,31.0,27.4,-3.6,-11.7,—,9.9,"$39,220",—,—,—,
Nuclear engineers,17-2161,Line item,16.8,16.2,-0.7,-4.0,—,4.4,"$102,220",Bachelor's degree,None,None,
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,140.6,134.8,-5.8,-4.1,0.2,15.9,"$39,020",Associate's degree,None,None,
"Model makers and patternmakers, metal and plastic",51-4060,Summary,10.1,7.8,-2.2,-22.2,0.8,1.8,"$46,600",—,—,—,
Legal secretaries,43-6012,Line item,215.5,206.7,-8.9,-4.1,1.0,22.7,"$44,180",High school diploma or equivalent,None,Moderate-term on-the-job training,
Upholsterers,51-6093,Line item,42.2,40.4,-1.8,-4.3,29.2,10.8,"$33,050",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,141.5,105.8,-35.7,-25.2,—,21.0,"$30,820",—,—,—,
Industrial engineering technicians,17-3026,Line item,66.5,63.5,-3.0,-4.5,0.6,16.3,"$53,330",Associate's degree,None,None,
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,22.7,21.7,-1.0,-4.5,1.0,3.9,"$75,670",Postsecondary nondegree award,None,Long-term on-the-job training,
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,125.1,119.2,-5.9,-4.7,1.0,27.1,"$35,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
Metal-refining furnace operators and tenders,51-4051,Line item,21.2,20.2,-1.0,-4.8,—,6.7,"$41,040",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Welding, soldering, and brazing workers",51-4120,Summary,457.5,461.2,3.7,0.8,5.8,145.6,"$39,110",—,—,—,
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,40.6,38.6,-2.0,-4.9,0.4,8.1,"$50,050",High school diploma or equivalent,None,Moderate-term on-the-job training,
Electrical and electronic equipment assemblers,51-2022,Line item,207.2,197.0,-10.2,-4.9,0.1,25.5,"$31,310",High school diploma or equivalent,None,Moderate-term on-the-job training,
Miscellaneous metal workers and plastic workers,51-4190,Summary,104.7,85.4,-19.2,-18.4,1.0,21.6,"$34,740",—,—,—,
Nuclear technicians,19-4051,Line item,6.8,6.4,-0.3,-5.1,4.5,2.8,"$79,140",Associate's degree,None,Moderate-term on-the-job training,
"Cooks, short order",35-2015,Line item,181.6,172.3,-9.3,-5.1,—,48.0,"$21,890",No formal educational credential,None,Short-term on-the-job training,
Power distributors and dispatchers,51-8012,Line item,11.4,10.8,-0.6,-5.1,—,3.9,"$81,900",High school diploma or equivalent,None,Long-term on-the-job training,
Editors,27-3041,Line item,117.2,111.0,-6.2,-5.3,13.6,42.5,"$57,210",Bachelor's degree,Less than 5 years,None,
Continuous mining machine operators,47-5041,Line item,12.3,11.6,-0.6,-5.3,7.4,2.4,"$51,840",No formal educational credential,None,Moderate-term on-the-job training,
Printing workers,51-5100,Summary,260.7,223.1,-37.6,-14.4,2.6,39.4,"$35,120",—,—,—,
Electromechanical equipment assemblers,51-2023,Line item,47.2,44.7,-2.5,-5.3,—,5.8,"$33,350",High school diploma or equivalent,None,Moderate-term on-the-job training,
Bill and account collectors,43-3011,Line item,350.4,330.9,-19.6,-5.6,0.2,85.6,"$35,350",High school diploma or equivalent,None,Moderate-term on-the-job training,
File clerks,43-4071,Line item,159.0,150.1,-8.9,-5.6,2.2,32.0,"$29,090",High school diploma or equivalent,None,Short-term on-the-job training,
"Textile, apparel, and furnishings workers",51-6000,Summary,643.4,567.4,-76.0,-11.8,10.7,102.0,"$23,750",—,—,—,
Forest and conservation technicians,19-4093,Line item,32.6,30.8,-1.9,-5.7,0.2,13.7,"$35,560",Associate's degree,None,None,
Executive secretaries and executive administrative assistants,43-6011,Line item,776.6,732.0,-44.6,-5.7,0.8,81.9,"$55,860",High school diploma or equivalent,Less than 5 years,None,
"Agricultural workers, all other",45-2099,Line item,10.6,10.0,-0.6,-5.7,0.6,2.8,"$31,160",No formal educational credential,None,Short-term on-the-job training,
Shoe and leather workers,51-6040,Summary,13.3,10.7,-2.6,-19.2,16.1,2.0,"$24,600",—,—,—,
